"SourceSheet","SourceRowNo","SiteCode","TargetCode","TrainNo","ModuleNo","SlotName","LocationId","ParentLocationId","SlotKind","IsInstallable","NeedsReview","OriginalAttribute"
"坑位1","144","D","TS","109","M4","驅動馬達-L","50-D-TS109-M4-DMOT-L","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","145","D","TS","109","M4","驅動馬達-R","50-D-TS109-M4-DMOT-R","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","147","D","TS","109","M4","旅客緊急對講機(PEI)-L","50-D-TS109-M4-PEI-L","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","148","D","TS","109","M4","旅客緊急對講機(PEI)-R","50-D-TS109-M4-PEI-R","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","149","D","TS","109","M4","IP擴音器","50-D-TS109-M4-PA-IP","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","150","D","TS","109","M4","網管型乙太網路交換器(模組1/2/4/5)","50-D-TS109-M4-ETH-SW","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","152","D","TS","109","M4","客室空調總成-R1","50-D-TS109-M4-PAC/R1","50-D-TS109-M4","ASSEMBLY","True","False","🟩 總成"
"坑位1","153","D","TS","109","M4","空調渦捲式壓縮機-R1","50-D-TS109-M4-PAC/R1-COMP","50-D-TS109-M4-PAC/R1","COMPONENT","True","False","🟦 子件"
"坑位1","154","D","TS","109","M4","空調控制器KN700-R1","50-D-TS109-M4-PAC/R1-CTRL","50-D-TS109-M4-PAC/R1","COMPONENT","True","False","🟦 子件"
"坑位1","155","D","TS","109","M4","客室空調總成-L2","50-D-TS109-M4-PAC/L2","50-D-TS109-M4","ASSEMBLY","True","False","🟩 總成"
"坑位1","156","D","TS","109","M4","空調渦捲式壓縮機-L2","50-D-TS109-M4-PAC/L2-COMP","50-D-TS109-M4-PAC/L2","COMPONENT","True","False","🟦 子件"
"坑位1","157","D","TS","109","M4","空調控制器KN700-L2","50-D-TS109-M4-PAC/L2-CTRL","50-D-TS109-M4-PAC/L2","COMPONENT","True","False","🟦 子件"
"坑位1","159","D","TS","109","M4","儲能電池(ESS)總成","50-D-TS109-M4-ESS","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","160","D","TS","109","M4","冷卻器總成","50-D-TS109-M4-COOL","50-D-TS109-M4","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","164","D","TS","109","M5","TETRA收發機(Tetra Transceiver)","50-D-TS109-M5-TETRA","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","165","D","TS","109","M5","影像連結單元(Video link)","50-D-TS109-M5-VID","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","166","D","TS","109","M5","車載控制單元(OBCU)","50-D-TS109-M5-OBCU","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","167","D","TS","109","M5","網管型乙太網路交換器(駕駛室)","50-D-TS109-M5-ETH/CAB","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","168","D","TS","109","M5","Wi-Fi模組","50-D-TS109-M5-WIFI","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","169","D","TS","109","M5","旅客緊急對講機(PEI)-L","50-D-TS109-M5-PEI-L","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","170","D","TS","109","M5","旅客緊急對講機(PEI)-R","50-D-TS109-M5-PEI-R","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","171","D","TS","109","M5","網管型乙太網路交換器(模組1/2/4/5)","50-D-TS109-M5-ETH/SW","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","173","D","TS","109","M5","BPI界面轉換器","50-D-TS109-M5-BPI","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","174","D","TS","109","M5","速度監控HMI","50-D-TS109-M5-HMI","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","176","D","TS","109","M5","主控制器總成","50-D-TS109-M5-MC","50-D-TS109-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","177","D","TS","109","M5","GPS機","50-D-TS109-M5-GPS","50-D-TS109-M5","COMPONENT","True","False","🟦 子件"
"坑位1","178","D","TS","109","M5","撒砂裝置空壓機","50-D-TS109-M5-SD/COMP","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","179","D","TS","109","M5","輪緣潤滑壓縮機","50-D-TS109-M5-FLUB/COMP","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","181","D","TS","109","M5","車輛控制單元(VCU)","50-D-TS109-M5-VCU","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","183","D","TS","109","M5","駕駛室空調總成","50-D-TS109-M5-CABAC","50-D-TS109-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","184","D","TS","109","M5","空調控制器KN700","50-D-TS109-M5-CABAC-CTRL","50-D-TS109-M5-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","185","D","TS","109","M5","空調渦捲式壓縮機","50-D-TS109-M5-CABAC-COMP","50-D-TS109-M5-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","186","D","TS","109","M5","空調變頻器","50-D-TS109-M5-CABAC-INV","50-D-TS109-M5-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","188","D","TS","109","M5","車門控制單元(DCU)-L","50-D-TS109-M5-DCU-L","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","189","D","TS","109","M5","車門控制單元(DCU)-R","50-D-TS109-M5-DCU-R","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","190","D","TS","109","M5","驅動馬達-L","50-D-TS109-M5-DMOT-L","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","191","D","TS","109","M5","驅動馬達-R","50-D-TS109-M5-DMOT-R","50-D-TS109-M5","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","193","D","TS","109","M5","煞車控制單元(BCU)總成","50-D-TS109-M5-BCU","50-D-TS109-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","194","D","TS","109","M5","BCU_(AIO)類比輸入/輸出板","50-D-TS109-M5-BCU-AIO","50-D-TS109-M5-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","195","D","TS","109","M5","BCU_(CIB)控制器網路界面板","50-D-TS109-M5-BCU-CIB","50-D-TS109-M5-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","196","D","TS","109","M5","BCU_(CPU)中央處理器板","50-D-TS109-M5-BCU-CPU","50-D-TS109-M5-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","197","D","TS","109","M5","BCU_(DIO)數位輸入/輸出板","50-D-TS109-M5-BCU-DIO","50-D-TS109-M5-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","198","D","TS","109","M5","BCU_(PSB)電源板","50-D-TS109-M5-BCU-PSB","50-D-TS109-M5-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","199","D","TS","109","M5","BCU_(VCB)閥控制板","50-D-TS109-M5-BCU-VCB","50-D-TS109-M5-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","200","D","TS","109","M5","煞車液壓單元總成(EHU)","50-D-TS109-M5-EHU","50-D-TS109-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","201","D","TS","109","M5","輔助液壓單元總成(AHU)","50-D-TS109-M5-AHU","50-D-TS109-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","203","D","TS","109","M5","牽引換流器及輔助電源異常(CC400)","50-D-TS109-M5-CC400","50-D-TS109-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","204","D","TS","109","M5","ACU卡板","50-D-TS109-M5-CC400-ACU","50-D-TS109-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","205","D","TS","109","M5","TCU卡板","50-D-TS109-M5-CC400-TCU","50-D-TS109-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","206","D","TS","109","M5","牽引電抗器","50-D-TS109-M5-CC400-TRAC/Reactor","50-D-TS109-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","207","D","TS","109","M5","輔電電抗器","50-D-TS109-M5-CC400-AUX/Reactor","50-D-TS109-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","208","D","TS","109","M5","儲能裝置電抗器","50-D-TS109-M5-CC400-ESS/Reactor","50-D-TS109-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","209","D","TS","109","M5","高頻整流器模組(XC)","50-D-TS109-M5-CC400-XC","50-D-TS109-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","210","D","TS","109","M5","輔助變流器模組(AUX)","50-D-TS109-M5-CC400-AUX","50-D-TS109-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","211","D","TS","109","M5","煞車電阻器(含箱體)","50-D-TS109-M5-BRES","50-D-TS109-M5-CC400","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","213","D","TS","109","M5","轉向架","50-D-TS109-M5-BOGIE","50-D-TS109-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","214","D","TS","109","M5","齒輪箱總成-L5","50-D-TS109-M5-BOGIE-GB-AX5L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","215","D","TS","109","M5","齒輪箱總成-L6","50-D-TS109-M5-BOGIE-GB-AX6L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","216","D","TS","109","M5","齒輪箱總成-R5","50-D-TS109-M5-BOGIE-GB-AX5R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","217","D","TS","109","M5","齒輪箱總成-R6","50-D-TS109-M5-BOGIE-GB-AX6R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","218","D","TS","109","M5","動力式車輪-L5","50-D-TS109-M5-BOGIE-WHL-AX5L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","219","D","TS","109","M5","動力式車輪-L6","50-D-TS109-M5-BOGIE-WHL-AX6L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","220","D","TS","109","M5","動力式車輪-R5","50-D-TS109-M5-BOGIE-WHL-AX5R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","221","D","TS","109","M5","動力式車輪-R6","50-D-TS109-M5-BOGIE-WHL-AX6R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","222","D","TS","109","M5","動力式煞車卡鉗總成-L5","50-D-TS109-M5-BOGIE-BCAL-AX5L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","223","D","TS","109","M5","動力式煞車卡鉗總成-L6","50-D-TS109-M5-BOGIE-BCAL-AX6L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","224","D","TS","109","M5","動力式煞車卡鉗總成-R5","50-D-TS109-M5-BOGIE-BCAL-AX5R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","225","D","TS","109","M5","動力式煞車卡鉗總成-R6","50-D-TS109-M5-BOGIE-BCAL-AX6R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","226","D","TS","109","M5","牽引馬達總成-L5(TM4)","50-D-TS109-M5-BOGIE-TM-AX5L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","227","D","TS","109","M5","牽引馬達總成-L6(TM3)","50-D-TS109-M5-BOGIE-TM-AX6L","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","228","D","TS","109","M5","牽引馬達總成-R5(TM2)","50-D-TS109-M5-BOGIE-TM-AX5R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","229","D","TS","109","M5","牽引馬達總成-R6(TM1)","50-D-TS109-M5-BOGIE-TM-AX6R","50-D-TS109-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"generated","","D","TS","110","M1","110車 M1","50-D-TS110-M1","","MODULE","False","False","MODULE"
"generated","","D","TS","110","M2","110車 M2","50-D-TS110-M2","","MODULE","False","False","MODULE"
"generated","","D","TS","110","M3","110車 M3","50-D-TS110-M3","","MODULE","False","False","MODULE"
"generated","","D","TS","110","M4","110車 M4","50-D-TS110-M4","","MODULE","False","False","MODULE"
"generated","","D","TS","110","M5","110車 M5","50-D-TS110-M5","","MODULE","False","False","MODULE"
"坑位1","4","D","TS","110","M1","TETRA收發機(Tetra Transceiver)","50-D-TS110-M1-TETRA","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","5","D","TS","110","M1","影像連結單元(Video link)","50-D-TS110-M1-VID","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","6","D","TS","110","M1","車載控制單元(OBCU)","50-D-TS110-M1-OBCU","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","7","D","TS","110","M1","網管型乙太網路交換器(駕駛室)","50-D-TS110-M1-ETH/CAB","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","8","D","TS","110","M1","Wi-Fi模組","50-D-TS110-M1-WIFI","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","10","D","TS","110","M1","BPI界面轉換器","50-D-TS110-M1-BPI","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","11","D","TS","110","M1","速度監控HMI","50-D-TS110-M1-HMI","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","13","D","TS","110","M1","主控制器總成","50-D-TS110-M1-MC","50-D-TS110-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","14","D","TS","110","M1","GPS機","50-D-TS110-M1-GPS","50-D-TS110-M1","COMPONENT","True","False","🟦 子件"
"坑位1","16","D","TS","110","M1","車輛控制單元(VCU)","50-D-TS110-M1-VCU","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","18","D","TS","110","M1","駕駛室空調總成","50-D-TS110-M1-CABAC","50-D-TS110-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","19","D","TS","110","M1","空調控制器KN700","50-D-TS110-M1-CABAC-CTRL","50-D-TS110-M1-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","20","D","TS","110","M1","空調渦捲式壓縮機","50-D-TS110-M1-CABAC-COMP","50-D-TS110-M1-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","21","D","TS","110","M1","空調變頻器","50-D-TS110-M1-CABAC-INV","50-D-TS110-M1-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","23","D","TS","110","M1","車門控制單元(DCU)-L","50-D-TS110-M1-DCU-L","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","24","D","TS","110","M1","車門控制單元(DCU)-R","50-D-TS110-M1-DCU-R","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","25","D","TS","110","M1","驅動馬達-L","50-D-TS110-M1-DMOT-L","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","26","D","TS","110","M1","驅動馬達-R","50-D-TS110-M1-DMOT-R","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","28","D","TS","110","M1","旅客緊急對講機(PEI)-L","50-D-TS110-M1-PEI-L","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","29","D","TS","110","M1","旅客緊急對講機(PEI)-R","50-D-TS110-M1-PEI-R","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","30","D","TS","110","M1","網管型乙太網路交換器(模組1/2/4/5)","50-D-TS110-M1-ETH/SW","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","32","D","TS","110","M1","撒砂裝置空壓機","50-D-TS110-M1-SD/COMP","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","33","D","TS","110","M1","輪緣潤滑壓縮機","50-D-TS110-M1-FLUB/COMP","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","35","D","TS","110","M1","煞車控制單元(BCU)總成","50-D-TS110-M1-BCU","50-D-TS110-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","36","D","TS","110","M1","BCU_(AIO)類比輸入/輸出板","50-D-TS110-M1-BCU-AIO","50-D-TS110-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","37","D","TS","110","M1","BCU_(CIB)控制器網路界面板","50-D-TS110-M1-BCU-CIB","50-D-TS110-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","38","D","TS","110","M1","BCU_(CPU)中央處理器板","50-D-TS110-M1-BCU-CPU","50-D-TS110-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","39","D","TS","110","M1","BCU_(DIO)數位輸入/輸出板","50-D-TS110-M1-BCU-DIO","50-D-TS110-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","40","D","TS","110","M1","BCU_(PSB)電源板","50-D-TS110-M1-BCU-PSB","50-D-TS110-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","41","D","TS","110","M1","BCU_(VCB)閥控制板","50-D-TS110-M1-BCU-VCB","50-D-TS110-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","43","D","TS","110","M1","牽引換流器及輔助電源異常(CC400)","50-D-TS110-M1-CC400","50-D-TS110-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","44","D","TS","110","M1","ACU卡板","50-D-TS110-M1-CC400-ACU","50-D-TS110-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","45","D","TS","110","M1","TCU卡板","50-D-TS110-M1-CC400-TCU","50-D-TS110-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","46","D","TS","110","M1","牽引電抗器","50-D-TS110-M1-CC400-TRAC/Reactor","50-D-TS110-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","47","D","TS","110","M1","輔電電抗器","50-D-TS110-M1-CC400-AUX/Reactor","50-D-TS110-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","48","D","TS","110","M1","儲能裝置電抗器","50-D-TS110-M1-CC400-ESS/Reactor","50-D-TS110-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","49","D","TS","110","M1","高頻整流器模組(XC)","50-D-TS110-M1-CC400-XC","50-D-TS110-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","50","D","TS","110","M1","輔助變流器模組(AUX)","50-D-TS110-M1-CC400-AUX","50-D-TS110-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","51","D","TS","110","M1","煞車電阻器(含箱體)","50-D-TS110-M1-BRES","50-D-TS110-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","53","D","TS","110","M1","轉向架","50-D-TS110-M1-BOGIE","50-D-TS110-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","54","D","TS","110","M1","動力式車輪-L1","50-D-TS110-M1-BOGIE-WHL-AX1L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","55","D","TS","110","M1","動力式車輪-L2","50-D-TS110-M1-BOGIE-WHL-AX2L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","56","D","TS","110","M1","動力式車輪-R1","50-D-TS110-M1-BOGIE-WHL-AX1R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","57","D","TS","110","M1","動力式車輪-R2","50-D-TS110-M1-BOGIE-WHL-AX2R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","58","D","TS","110","M1","齒輪箱總成-L1","50-D-TS110-M1-BOGIE-GB-AX1L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","59","D","TS","110","M1","齒輪箱總成-L2","50-D-TS110-M1-BOGIE-GB-AX2L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","60","D","TS","110","M1","齒輪箱總成-R1","50-D-TS110-M1-BOGIE-GB-AX1R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","61","D","TS","110","M1","齒輪箱總成-R2","50-D-TS110-M1-BOGIE-GB-AX2R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","62","D","TS","110","M1","動力式煞車卡鉗總成-L1","50-D-TS110-M1-BOGIE-BCAL-AX1L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","63","D","TS","110","M1","動力式煞車卡鉗總成-L2","50-D-TS110-M1-BOGIE-BCAL-AX2L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","64","D","TS","110","M1","動力式煞車卡鉗總成-R1","50-D-TS110-M1-BOGIE-BCAL-AX1R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","65","D","TS","110","M1","動力式煞車卡鉗總成-R2","50-D-TS110-M1-BOGIE-BCAL-AX2R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","66","D","TS","110","M1","牽引馬達總成-L1(TM1)","50-D-TS110-M1-BOGIE-TM-AX1L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","67","D","TS","110","M1","牽引馬達總成-L2(TM2)","50-D-TS110-M1-BOGIE-TM-AX2L","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","68","D","TS","110","M1","牽引馬達總成-R1(TM3)","50-D-TS110-M1-BOGIE-TM-AX1R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","69","D","TS","110","M1","牽引馬達總成-R2(TM4)","50-D-TS110-M1-BOGIE-TM-AX2R","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","70","D","TS","110","M1","煞車液壓單元總成(EHU)","50-D-TS110-M1-BOGIE-EHU","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","71","D","TS","110","M1","輔助液壓單元總成(AHU)","50-D-TS110-M1-BOGIE-AHU","50-D-TS110-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","75","D","TS","110","M2","車門控制單元(DCU)-L","50-D-TS110-M2-DCU-L","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","76","D","TS","110","M2","車門控制單元(DCU)-R","50-D-TS110-M2-DCU-R","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","77","D","TS","110","M2","驅動馬達-L","50-D-TS110-M2-DMOT-L","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","78","D","TS","110","M2","驅動馬達-R","50-D-TS110-M2-DMOT-R","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","80","D","TS","110","M2","旅客緊急對講機(PEI)-L","50-D-TS110-M2-PEI-L","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","81","D","TS","110","M2","旅客緊急對講機(PEI)-R","50-D-TS110-M2-PEI-R","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","82","D","TS","110","M2","IP擴音器","50-D-TS110-M2-PA-IP","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","83","D","TS","110","M2","網管型乙太網路交換器(模組1/2/4/5)","50-D-TS110-M2-ETH-SW","50-D-TS110-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","85","D","TS","110","M2","客室空調總成-R1","50-D-TS110-M2-PAC-R1","50-D-TS110-M2","ASSEMBLY","True","False","🟩 總成"
"坑位1","86","D","TS","110","M2","空調渦捲式壓縮機-R1","50-D-TS110-M2-PAC-R1-COMP","50-D-TS110-M2-PAC-R1","COMPONENT","True","False","🟦 子件"
"坑位1","87","D","TS","110","M2","空調控制器KN700-R1","50-D-TS110-M2-PAC-R1-CTRL","50-D-TS110-M2-PAC-R1","COMPONENT","True","False","🟦 子件"
"坑位1","88","D","TS","110","M2","客室空調總成-L2","50-D-TS110-M2-PAC-L2","50-D-TS110-M2","ASSEMBLY","True","False","🟩 總成"
"坑位1","89","D","TS","110","M2","空調渦捲式壓縮機-L2","50-D-TS110-M2-PAC-L2-COMP","50-D-TS110-M2-PAC-L2","COMPONENT","True","False","🟦 子件"
"坑位1","90","D","TS","110","M2","空調控制器KN700-L2","50-D-TS110-M2-PAC-L2-CTRL","50-D-TS110-M2-PAC-L2","COMPONENT","True","False","🟦 子件"
"坑位1","92","D","TS","110","M2","儲能電池(ESS)總成","50-D-TS110-M2-ESS","50-D-TS110-M2","ASSEMBLY","True","False","🟩 總成"
"坑位1","93","D","TS","110","M2","冷卻器總成","50-D-TS110-M2-ESS-COOL","50-D-TS110-M2-ESS","COMPONENT","True","False","🟦 子件"
"坑位1","97","D","TS","110","M3","旅客緊急對講機(PEI)-L","50-D-TS110-M3-PEI-L","50-D-TS110-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","98","D","TS","110","M3","旅客緊急對講機(PEI)-R","50-D-TS110-M3-PEI-R","50-D-TS110-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","99","D","TS","110","M3","網管型乙太網路交換器(模組3)","50-D-TS110-M3-ETH-SW","50-D-TS110-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","101","D","TS","110","M3","中央控制單元(CCU)","50-D-TS110-M3-CCU","50-D-TS110-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","102","D","TS","110","M3","1030卡板(CCU內)","50-D-TS110-M3-CCU-1030","50-D-TS110-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","103","D","TS","110","M3","1092卡板(CCU內)","50-D-TS110-M3-CCU-1092","50-D-TS110-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","104","D","TS","110","M3","A212卡板(CCU內)","50-D-TS110-M3-CCU-A212","50-D-TS110-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","105","D","TS","110","M3","DIO-16A/15E卡板","50-D-TS110-M3-CCU-DIO","50-D-TS110-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","106","D","TS","110","M3","HIST V4卡版","50-D-TS110-M3-CCU-HIST","50-D-TS110-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","107","D","TS","110","M3","REL V3卡板","50-D-TS110-M3-CCU-REL","50-D-TS110-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","108","D","TS","110","M3","速度轉換器 (GMU)","50-D-TS110-M3-GMU","50-D-TS110-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","109","D","TS","110","M3","應答器天線-L","50-D-TS110-M3-BALISE-L","50-D-TS110-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","110","D","TS","110","M3","應答器天線-R","50-D-TS110-M3-BALISE-R","50-D-TS110-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","111","D","TS","110","M3","ATP乙太網交換機","50-D-TS110-M3-ATP-SW","50-D-TS110-M3","INDEPENDENT","True","False","⬜ 獨立件"
